Person_ID,Activity_Type,Activity_Frequency,Activity_Rating,Has_Social_Circle
Frist_1 Last name_133,Social Media,Monthly,2,No
Frist_1 Last name_133,Reading,Weekly,2,Yes
Frist_1 Last name_133,Music,Weekly,3,No
Frist_1 Last name_133,Volunteering,Daily,1,No
Frist_2 Last name_102,Social Media,Daily,5,No
Frist_2 Last name_246,Outdoor Sports,Daily,2,No
Frist_2 Last name_246,Social Media,Weekly,4,Yes
Frist_2 Last name_246,Movies,Daily,4,Yes
Frist_2 Last name_246,Cooking,Rarely,5,Yes
Frist_2 Last name_291,Outdoor Sports,Daily,1,No
Frist_2 Last name_138,Reading,Daily,2,Yes
Frist_1 Last name_141,Outdoor Sports,Rarely,5,No
Frist_1 Last name_141,Traveling,Rarely,4,No
Frist_1 Last name_141,Social Media,Weekly,5,Yes
Frist_1 Last name_141,Movies,Rarely,2,No
Frist_1 Last name_141,Volunteering,Weekly,1,No
Frist_1 Last name_141,Cooking,Weekly,3,No
Frist_1 Last name_141,Music,Rarely,1,Yes
Frist_2 Last name_147,Movies,Monthly,1,No
Frist_2 Last name_147,Traveling,Monthly,2,No
Frist_2 Last name_147,Outdoor Sports,Rarely,1,Yes
Frist_2 Last name_147,Reading,Monthly,2,No
Frist_2 Last name_147,Cooking,Monthly,1,Yes
Frist_2 Last name_147,Music,Monthly,2,No
Frist_2 Last name_147,Social Media,Daily,3,Yes
Frist_2 Last name_147,Volunteering,Monthly,2,No
Frist_1 Last name_25,Social Media,Daily,1,No
Frist_1 Last name_25,Traveling,Weekly,2,No
Frist_2 Last name_210,Reading,Rarely,2,No
Frist_2 Last name_210,Social Media,Monthly,2,Yes
Frist_2 Last name_210,Outdoor Sports,Weekly,4,No
Frist_2 Last name_210,Volunteering,Rarely,1,Yes
Frist_1 Last name_33,Music,Monthly,1,No
Frist_1 Last name_33,Social Media,Weekly,4,Yes
Frist_1 Last name_33,Reading,Weekly,2,No
Frist_1 Last name_97,Volunteering,Rarely,4,No
Frist_1 Last name_97,Outdoor Sports,Daily,3,Yes
Frist_1 Last name_97,Reading,Rarely,4,No
Frist_1 Last name_97,Music,Daily,1,No
Frist_1 Last name_97,Movies,Rarely,1,Yes
Frist_1 Last name_97,Cooking,Daily,1,No
Frist_1 Last name_97,Traveling,Monthly,3,Yes
Frist_1 Last name_97,Social Media,Rarely,1,No
Frist_1 Last name_69,Music,Daily,5,Yes
Frist_1 Last name_69,Cooking,Monthly,1,Yes
Frist_1 Last name_69,Social Media,Monthly,4,Yes
Frist_1 Last name_69,Reading,Rarely,5,Yes
Frist_1 Last name_69,Movies,Monthly,2,No
Frist_1 Last name_69,Traveling,Monthly,4,No
Frist_1 Last name_69,Outdoor Sports,Weekly,3,Yes
Frist_1 Last name_69,Volunteering,Weekly,3,Yes
Frist_1 Last name_142,Cooking,Daily,4,Yes
Frist_1 Last name_142,Volunteering,Monthly,1,No
Frist_1 Last name_142,Social Media,Rarely,4,No
Frist_1 Last name_142,Traveling,Monthly,2,No
Frist_1 Last name_142,Music,Rarely,2,Yes
Frist_1 Last name_142,Movies,Monthly,3,No
Frist_1 Last name_142,Outdoor Sports,Weekly,4,No
Frist_2 Last name_111,Outdoor Sports,Daily,4,Yes
